fund,date,nav,reinvest_nav,net_asset_value
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-12-02,10901,10901,66.72
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-12-03,10821,10821,66.43
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-12-04,10839,10839,66.96
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-12-05,10844,10844,67.08
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-12-06,10825,10825,67.16
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-12-09,10775,10775,66.96
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-12-10,10797,10797,67.21
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-12-11,10816,10816,67.67
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-12-12,10840,10840,68.18
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-12-13,10918,10918,69.04
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-12-16,10928,10928,69.47
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-12-17,10920,10920,69.96
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-12-18,10915,10915,69.99
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-12-19,10896,10896,69.95
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-12-20,10859,10859,69.9
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-12-23,10843,10843,70.0
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-12-24,10844,10844,70.22
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-12-25,10841,10841,70.44
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-12-26,10869,10869,70.85
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-12-27,10887,10887,70.97
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-12-30,10936,10936,71.28
