fund,date,nav,reinvest_nav,net_asset_value
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-12-09,9784,9784,174.87
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-12-12,9769,9769,174.43
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-12-13,9774,9774,174.65
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-12-14,9785,9785,174.59
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-12-15,9766,9766,174.24
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-12-16,9752,9752,175.02
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-12-19,9731,9731,174.69
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-12-20,9673,9673,173.51
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-12-21,9657,9657,172.85
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-12-22,9680,9680,173.13
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-12-23,9677,9677,172.81
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-12-26,9661,9661,172.44
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-12-27,9645,9645,174.11
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-12-28,9630,9630,172.31
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-12-29,9605,9605,171.6
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-12-30,9616,9616,171.75
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2023-01-04,9594,9594,171.35
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2023-01-05,9612,9612,174.39
