fund,date,nav,reinvest_nav,net_asset_value
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-05-12,11468,11468,913.21
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-05-13,11270,11270,903.04
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-05-14,11038,11038,886.5
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-05-15,11130,11130,895.59
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-05-18,11150,11150,898.82
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-05-19,11549,11549,933.89
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-05-20,11543,11543,935.99
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-05-21,11691,11691,950.01
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-05-22,11598,11598,947.73
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-05-25,11585,11585,948.21
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-05-26,11645,11645,954.64
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-05-27,11783,11783,965.88
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-05-28,11975,11975,987.19
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2020-05-29,11969,11969,988.89
